#eta G        mu        Ta_c        k_c
0.6 1000    -1.0        14933.89    4.86187      
0.6 1000    -0.5        5135.82     3.88670 
0.6 1000    -0.2        2292.02     2.87532   
0.6 1000    0.0         1750.89     2.40775    
0.6 1000    0.2         1541.34     2.18362
0.6 1000    0.5         1706.85     1.50802
0.6 1000    1.0         6209.99     0.56951    
0.9 1000    -1.0        5138.40     3.68113        
0.9 1000    -0.5        2460.55     3.18859    
0.9 1000    -0.2        1832.02     2.99341    
0.9 1000    0.0         1719.71     2.89803    
0.9 1000    0.2         1765.43     2.85565     
0.9 1000    0.5         2232.38     2.57911
0.9 1000    1.0         43411.00    0.58277          
